"id","registro","data_registro","tipo_medida"
1,49,"2023-10-20 11:18:23","C"
2,48,"2023-10-20 11:18:26","C"
3,47,"2023-10-20 11:18:29","C"
4,48,"2023-10-20 11:18:32","C"
5,48,"2023-10-20 11:18:35","C"
6,48,"2023-10-20 11:18:38","C"
7,48,"2023-10-20 11:18:41","C"
8,53,"2023-10-20 11:18:44","C"
9,58,"2023-10-20 11:18:47","C"
10,55,"2023-10-20 11:18:50","C"
11,55,"2023-10-20 11:18:53","C"
12,61,"2023-10-20 11:18:56","C"
13,52,"2023-10-20 11:18:59","C"
14,52,"2023-10-20 11:19:02","C"
15,52,"2023-10-20 11:19:05","C"
16,52,"2023-10-20 11:19:08","C"
17,52,"2023-10-20 11:19:11","C"
18,51,"2023-10-20 11:19:14","C"
19,49,"2023-10-20 11:19:17","C"
20,49,"2023-10-20 11:19:20","C"
21,49,"2023-10-20 11:19:23","C"
22,53,"2023-10-20 11:19:26","C"
23,57,"2023-10-20 11:19:29","C"
24,52,"2023-10-20 11:19:32","C"
25,49,"2023-10-20 11:19:36","C"
26,51,"2023-10-20 11:19:39","C"
27,49,"2023-10-20 11:19:42","C"
28,48,"2023-10-20 11:19:45","C"
29,51,"2023-10-20 11:19:48","C"
30,57,"2023-10-20 11:19:51","C"
31,48,"2023-10-20 11:19:54","C"
32,51,"2023-10-20 11:19:57","C"
33,49,"2023-10-20 11:20:00","C"
34,49,"2023-10-20 11:20:03","C"
35,48,"2023-10-20 11:20:06","C"
36,48,"2023-10-20 11:20:09","C"
37,51,"2023-10-20 11:20:12","C"
38,51,"2023-10-20 11:20:15","C"
39,48,"2023-10-20 11:20:18","C"
40,48,"2023-10-20 11:20:21","C"
41,46,"2023-10-20 11:20:24","C"
42,48,"2023-10-20 11:20:27","C"
43,48,"2023-10-20 11:20:30","C"
44,46,"2023-10-20 11:20:33","C"
45,46,"2023-10-20 11:20:36","C"
46,46,"2023-10-20 11:20:39","C"
47,46,"2023-10-20 11:20:42","C"
48,46,"2023-10-20 11:20:45","C"
49,46,"2023-10-20 11:20:48","C"
50,48,"2023-10-20 11:20:51","C"
51,46,"2023-10-20 11:20:54","C"
52,48,"2023-10-20 11:20:57","C"
53,46,"2023-10-20 11:21:00","C"
54,46,"2023-10-20 11:21:03","C"
55,48,"2023-10-20 11:21:06","C"
56,47,"2023-10-20 11:21:09","C"
57,46,"2023-10-20 11:21:12","C"
58,46,"2023-10-20 11:21:15","C"
59,45,"2023-10-20 11:21:18","C"
60,45,"2023-10-20 11:21:21","C"
61,45,"2023-10-20 11:21:24","C"
62,45,"2023-10-20 11:21:27","C"
63,45,"2023-10-20 11:21:30","C"
64,46,"2023-10-20 11:21:33","C"
65,45,"2023-10-20 11:21:36","C"
66,44,"2023-10-20 11:21:39","C"
67,44,"2023-10-20 11:21:42","C"
68,45,"2023-10-20 11:21:45","C"
69,44,"2023-10-20 11:21:48","C"
70,44,"2023-10-20 11:21:51","C"
71,43,"2023-10-20 11:21:54","C"
72,43,"2023-10-20 11:21:57","C"
73,43,"2023-10-20 11:22:00","C"
74,43,"2023-10-20 11:22:03","C"
75,43,"2023-10-20 11:22:06","C"
76,43,"2023-10-20 11:22:09","C"
77,43,"2023-10-20 11:22:12","C"
78,42,"2023-10-20 11:22:15","C"
79,43,"2023-10-20 11:22:18","C"
80,42,"2023-10-20 11:22:21","C"
81,44,"2023-10-20 11:22:24","C"
82,41,"2023-10-20 11:22:27","C"
83,43,"2023-10-20 11:22:30","C"
84,43,"2023-10-20 11:22:33","C"
85,43,"2023-10-20 11:22:36","C"
86,42,"2023-10-20 11:22:39","C"
87,42,"2023-10-20 11:22:42","C"
88,42,"2023-10-20 11:22:45","C"
89,41,"2023-10-20 11:22:48","C"
90,42,"2023-10-20 11:22:51","C"
91,41,"2023-10-20 11:22:54","C"
92,42,"2023-10-20 11:22:58","C"
93,43,"2023-10-20 11:23:01","C"
94,41,"2023-10-20 11:23:04","C"
95,43,"2023-10-20 11:23:07","C"
96,44,"2023-10-20 11:23:10","C"
97,43,"2023-10-20 11:23:13","C"
98,43,"2023-10-20 11:23:16","C"
99,44,"2023-10-23 12:06:03","C"
100,42,"2023-10-23 12:06:06","C"
101,42,"2023-10-23 12:06:09","C"
102,42,"2023-10-23 12:06:12","C"
103,41,"2023-10-23 12:06:15","C"
104,41,"2023-10-23 12:06:18","C"
105,40,"2023-10-23 12:06:21","C"
106,40,"2023-10-23 12:06:24","C"
107,41,"2023-10-23 12:06:27","C"
108,42,"2023-10-23 12:06:30","C"
109,42,"2023-10-23 12:06:33","C"
110,40,"2023-10-23 12:06:36","C"
111,40,"2023-10-23 12:06:39","C"
112,40,"2023-10-23 12:06:42","C"
113,40,"2023-10-23 12:06:45","C"
114,38,"2023-10-23 12:06:48","C"
115,38,"2023-10-23 12:06:51","C"
116,37,"2023-10-23 12:06:54","C"
117,38,"2023-10-23 12:06:57","C"
118,38,"2023-10-23 12:07:00","C"
119,37,"2023-10-23 12:07:03","C"
120,37,"2023-10-23 12:07:06","C"
121,38,"2023-10-23 12:07:09","C"
